i,  t,X1,X2,X3,X4,X5,
91,                9e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
92,              9.1e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
93,              9.2e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
94,              9.3e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
95,              9.4e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
96,              9.5e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
97,              9.6e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
98,              9.7e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
99,              9.8e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
100,              9.9e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
101,                1e-06,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
102,             1.01e-06,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
103,             1.02e-06,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
104,             1.03e-06,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
105,             1.04e-06,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
106,             1.05e-06,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
107,             1.06e-06,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
108,             1.07e-06,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
109,             1.08e-06,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
110,             1.09e-06,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
111,              1.1e-06,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
112,             1.11e-06,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
113,             1.12e-06,                   1,                -0.9,                   1,         2.01339e-10,         8.02129e-09,                  15,                    0
114,             1.13e-06,                   1,                -0.8,                   1,          1.7144e-10,         8.36545e-09,                  16,                    0
115,             1.14e-06,                   1,                -0.7,                   1,         1.53364e-10,         8.51048e-09,                  17,                    0
116,             1.15e-06,                   1,                -0.6,                   1,         1.40176e-10,         8.57948e-09,                  18,                    0
117,             1.16e-06,                   1,                -0.5,                   1,         1.29489e-10,         8.62036e-09,                  19,                    0
118,             1.17e-06,                   1,                -0.4,                   1,         1.19599e-10,         8.65389e-09,                  21,                    0
119,             1.18e-06,                   1,                -0.3,                   1,         1.12323e-10,         8.69123e-09,                  23,                    0
120,             1.19e-06,                   1,                -0.2,                   1,         1.40631e-10,         8.74111e-09,                  25,                    0
121,              1.2e-06,                   1,                -0.1,            0.999999,         7.94103e-10,         8.81409e-09,                  29,                    0
122,             1.21e-06,                   1,                   0,            0.999988,         1.26719e-08,         8.92944e-09,                  33,                    0
123,             1.22e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
124,             1.23e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
125,             1.24e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
126,             1.25e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
127,             1.26e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
128,             1.27e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
129,             1.28e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
130,             1.29e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
131,              1.3e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
132,             1.31e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
133,             1.32e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
134,             1.33e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
135,             1.34e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
136,             1.35e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
137,             1.36e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
138,             1.37e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
139,             1.38e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
140,             1.39e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
141,              1.4e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
142,             1.41e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
143,             1.42e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
144,             1.43e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
145,             1.44e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
146,             1.45e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
147,             1.46e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
148,             1.47e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
149,             1.48e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
150,             1.49e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
151,              1.5e-06,                   1,                   0,            0.999988,         1.26719e-08,        -4.45173e-13,                  33,                    0
