Index       TIME            V(SUPPLY)           V(VI)            V(VOUT)          {-I(VDD)}       {-I(VINPUT)}   
90       8.70000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250323e-10   -3.99507219e-11
91       8.80000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250323e-10   -3.99507216e-11
92       8.90000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250322e-10   -3.99507213e-11
93       9.00000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250322e-10   -3.99507212e-11
94       9.10000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250322e-10   -3.99507215e-11
95       9.20000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250323e-10   -3.99507217e-11
96       9.30000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250323e-10   -3.99507219e-11
97       9.40000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250323e-10   -3.99507221e-11
98       9.50000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250324e-10   -3.99507223e-11
99       9.60000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250324e-10   -3.99507225e-11
100      9.70000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250324e-10   -3.99507227e-11
101      9.80000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250325e-10   -3.99507229e-11
102      9.90000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250325e-10   -3.99507231e-11
103      1.00000000e-06    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250325e-10   -3.99507233e-11
104      1.01000000e-06    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250325e-10   -3.99507235e-11
105      1.02000000e-06    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250326e-10   -3.99507237e-11
106      1.03000000e-06    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250326e-10   -3.99507239e-11
107      1.04000000e-06    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250326e-10   -3.99507241e-11
108      1.05000000e-06    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250326e-10   -3.99507239e-11
109      1.06000000e-06    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250325e-10   -3.99507235e-11
110      1.07000000e-06    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250325e-10   -3.99507230e-11
111      1.08000000e-06    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250324e-10   -3.99507226e-11
112      1.09000000e-06    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250323e-10   -3.99507221e-11
113      1.10000000e-06    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250323e-10   -3.99507217e-11
114      1.11000000e-06    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250322e-10   -3.99507212e-11
115      1.12000000e-06    9.00000000e-01   -9.00000000e-01    9.00002502e-01   -7.56328458e-09    8.41887046e-09
116      1.13000000e-06    9.00000000e-01   -8.00000000e-01    9.00002585e-01   -7.55879987e-09    8.40664881e-09
117      1.14000000e-06    9.00000000e-01   -7.00000000e-01    9.00002685e-01   -7.54670519e-09    8.38680055e-09
118      1.15000000e-06    9.00000000e-01   -6.00000000e-01    9.00002790e-01   -7.53291888e-09    8.36564252e-09
119      1.16000000e-06    9.00000000e-01   -5.00000000e-01    9.00002967e-01   -7.49375794e-09    8.32483778e-09
