Index     V(DRAIN)           V(GATE)        {-I(VDRAIN)}       {-I(VGATE)}       {-I(VBULK)}      {-I(VSOURCE)}  
106      7.00000000e-01    9.00000000e-01    4.72172577e-04    2.95115032e-13   -7.95241621e-89   -4.72172578e-04
107      8.00000000e-01    9.00000000e-01    4.83708370e-04    2.88421783e-13   -9.88831621e-89   -4.83708370e-04
108      9.00000000e-01    9.00000000e-01    4.92507960e-04    2.85361601e-13   -1.15933452e-88   -4.92507960e-04
109      1.00000000e+00    9.00000000e-01    4.99632766e-04    2.83621007e-13   -4.73001406e-12   -4.99632761e-04
110      0.00000000e+00    1.00000000e+00   -9.72963928e-13    1.94592786e-12  -5.86678181e-139   -9.72963928e-13
111      1.00000000e-01    1.00000000e+00    1.42546975e-04    1.42778936e-12   -3.89921370e-91   -1.42546976e-04
112      2.00000000e-01    1.00000000e+00    2.67731839e-04    1.06798260e-12   -3.07773431e-90   -2.67731840e-04
113      3.00000000e-01    1.00000000e+00    3.68121767e-04    8.24689413e-13   -1.00133017e-89   -3.68121768e-04
114      4.00000000e-01    1.00000000e+00    4.42721924e-04    6.66392214e-13   -2.21783845e-89   -4.42721924e-04
115      5.00000000e-01    1.00000000e+00    4.95200177e-04    5.69341552e-13   -3.90895739e-89   -4.95200177e-04
116      6.00000000e-01    1.00000000e+00    5.30708769e-04    5.12888140e-13   -5.89620574e-89   -5.30708769e-04
117      7.00000000e-01    1.00000000e+00    5.54643652e-04    4.80882717e-13   -7.95241454e-89   -5.54643653e-04
118      8.00000000e-01    1.00000000e+00    5.71365125e-04    4.62799627e-13   -9.88831460e-89   -5.71365125e-04
119      9.00000000e-01    1.00000000e+00    5.83702343e-04    4.52680930e-13   -1.15933438e-88   -5.83702343e-04
120      1.00000000e+00    1.00000000e+00    5.93320207e-04    4.47476177e-13   -1.30299268e-88   -5.93320208e-04
121      0.00000000e+00    1.10000000e+00   -1.86180787e-12    3.72361573e-12  -1.35881282e-138   -1.86180787e-12
122      1.00000000e-01    1.10000000e+00    1.49166886e-04    2.70610402e-12   -3.89921292e-91   -1.49166889e-04
123      2.00000000e-01    1.10000000e+00    2.83595639e-04    1.99939809e-12   -3.07773359e-90   -2.83595641e-04
124      3.00000000e-01    1.10000000e+00    3.96119262e-04    1.51927973e-12   -1.00132990e-89   -3.96119264e-04
125      4.00000000e-01    1.10000000e+00    4.84393790e-04    1.19967488e-12   -2.21783784e-89   -4.84393791e-04
126      5.00000000e-01    1.10000000e+00    5.50377155e-04    9.94823885e-13   -3.90895636e-89   -5.50377156e-04
127      6.00000000e-01    1.10000000e+00    5.97848283e-04    8.68823393e-13   -5.89620436e-89   -5.97848284e-04
128      7.00000000e-01    1.10000000e+00    6.31185878e-04    7.93535741e-13   -7.95241299e-89   -6.31185878e-04
129      8.00000000e-01    1.10000000e+00    6.54717347e-04    7.49001555e-13   -9.88831308e-89   -6.54717348e-04
130      9.00000000e-01    1.10000000e+00    6.71856841e-04    7.22598596e-13   -1.15933424e-88   -6.71856842e-04
131      1.00000000e+00    1.10000000e+00    6.84891024e-04    7.06994035e-13   -1.30299256e-88   -6.84891024e-04
132      0.00000000e+00    1.20000000e+00   -3.62587312e-12    7.25174624e-12  -3.14989070e-138   -3.62587312e-12
133      1.00000000e-01    1.20000000e+00    1.54425870e-04    5.21019212e-12   -3.89921231e-91   -1.54425876e-04
134      2.00000000e-01    1.20000000e+00    2.96272341e-04    3.79728143e-12   -3.07773301e-90   -2.96272345e-04
135      3.00000000e-01    1.20000000e+00    4.18836966e-04    2.83952140e-12   -1.00132968e-89   -4.18836969e-04
136      4.00000000e-01    1.20000000e+00    5.19053712e-04    2.19653415e-12   -2.21783733e-89   -5.19053715e-04
137      5.00000000e-01    1.20000000e+00    5.97533070e-04    1.77443305e-12   -3.90895547e-89   -5.97533072e-04
138      6.00000000e-01    1.20000000e+00    6.56957738e-04    1.50502736e-12   -5.89620314e-89   -6.56957739e-04
139      7.00000000e-01    1.20000000e+00    7.00693341e-04    1.33720856e-12   -7.95241159e-89   -7.00693342e-04
140      8.00000000e-01    1.20000000e+00    7.32443381e-04    1.23401296e-12   -9.88831165e-89   -7.32443383e-04
141      9.00000000e-01    1.20000000e+00    7.55705235e-04    1.17058733e-12   -1.15933411e-88   -7.55705236e-04
142      1.00000000e+00    1.20000000e+00    7.73214872e-04    1.13135652e-12   -1.30299245e-88   -7.73214873e-04
143      0.00000000e+00    1.30000000e+00   -7.21236574e-12    1.44247315e-11  -7.35413834e-138   -7.21236574e-12
144      1.00000000e-01    1.30000000e+00    1.58656060e-04    1.02316345e-11   -3.89921181e-91   -1.58656070e-04
145      2.00000000e-01    1.30000000e+00    3.06511054e-04    7.34792896e-12   -3.07773255e-90   -3.06511061e-04
146      3.00000000e-01    1.30000000e+00    4.37389525e-04    5.40570898e-12   -1.00132951e-89   -4.37389530e-04
147      4.00000000e-01    1.30000000e+00    5.47898899e-04    4.10193011e-12   -2.21783690e-89   -5.47898903e-04
148      5.00000000e-01    1.30000000e+00    6.37666070e-04    3.23721834e-12   -3.90895472e-89   -6.37666073e-04
149      6.00000000e-01    1.30000000e+00    7.08437029e-04    2.67355766e-12   -5.89620208e-89   -7.08437032e-04
150      7.00000000e-01    1.30000000e+00    7.62796199e-04    2.31235867e-12   -7.95241033e-89   -7.62796202e-04
151      8.00000000e-01    1.30000000e+00    8.03687277e-04    2.08347189e-12   -9.88831035e-89   -8.03687279e-04
152      9.00000000e-01    1.30000000e+00    8.34242625e-04    1.93876624e-12   -1.15933398e-88   -8.34242627e-04
153      1.00000000e+00    1.30000000e+00    8.57321171e-04    1.84677240e-12   -1.30299234e-88   -8.57321173e-04
154      0.00000000e+00    1.40000000e+00   -1.46929637e-11    2.93859274e-11  -1.73763796e-137   -1.46929637e-11
155      1.00000000e-01    1.40000000e+00    1.62096751e-04    2.05560527e-11   -3.89921141e-91   -1.62096771e-04
156      2.00000000e-01    1.40000000e+00    3.14863850e-04    1.45343774e-11   -3.07773217e-90   -3.14863865e-04
157      3.00000000e-01    1.40000000e+00    4.52653346e-04    1.05157086e-11   -1.00132936e-89   -4.52653356e-04
158      4.00000000e-01    1.40000000e+00    5.71978530e-04    7.83249108e-12   -2.21783655e-89   -5.71978537e-04
159      5.00000000e-01    1.40000000e+00    6.71800751e-04    6.05031224e-12   -3.90895408e-89   -6.71800757e-04
160      6.00000000e-01    1.40000000e+00    7.53063569e-04    4.87754424e-12   -5.89620116e-89   -7.53063573e-04
161      7.00000000e-01    1.40000000e+00    8.17726334e-04    4.11362626e-12   -7.95240922e-89   -8.17726338e-04
162      8.00000000e-01    1.40000000e+00    8.68107833e-04    3.61965095e-12   -9.88830917e-89   -8.68107837e-04
163      9.00000000e-01    1.40000000e+00    9.06787796e-04    3.30075920e-12   -1.15933387e-88   -9.06787799e-04
164      1.00000000e+00    1.40000000e+00    9.36420648e-04    3.09393844e-12   -1.30299224e-88   -9.36420651e-04
165      0.00000000e+00    1.50000000e+00   -3.07203682e-11    6.14407364e-11  -4.17077947e-137   -3.07203682e-11
166      1.00000000e-01    1.50000000e+00    1.64922774e-04    4.23504270e-11   -3.89921108e-91   -1.64922816e-04
167      2.00000000e-01    1.50000000e+00    3.21740262e-04    2.94620113e-11   -3.07773185e-90   -3.21740291e-04
168      3.00000000e-01    1.50000000e+00    4.65305340e-04    2.09553555e-11   -1.00132924e-89   -4.65305361e-04
169      4.00000000e-01    1.50000000e+00    5.92168710e-04    1.53251258e-11   -2.21783625e-89   -5.92168725e-04
170      5.00000000e-01    1.50000000e+00    7.00869213e-04    1.16014539e-11   -3.90895353e-89   -7.00869225e-04
171      6.00000000e-01    1.50000000e+00    7.91700051e-04    9.14755723e-12   -5.89620037e-89   -7.91700060e-04
172      7.00000000e-01    1.50000000e+00    8.66068224e-04    7.53786842e-12   -7.95240824e-89   -8.66068232e-04
173      8.00000000e-01    1.50000000e+00    9.25822747e-04    6.48526708e-12   -9.88830811e-89   -9.25822753e-04
174      9.00000000e-01    1.50000000e+00    9.73031460e-04    5.79664430e-12   -1.15933377e-88   -9.73031466e-04
175      1.00000000e+00    1.50000000e+00    1.00995865e-03    5.34387069e-12   -1.30299214e-88   -1.00995866e-03
End of Xyce(TM) Simulation
