Index       TIME             V(VDD)            V(VIN)           V(VOUT1)          V(VOUT2)          V(VOUT3)          V(VOUT4)          V(VOUT5)          V(VOUT6)          V(VOUT7)          V(VOUT8)          V(VOUT9)          V(VOUT10)         V(VOUT11)         V(VOUT12)         {-I(VDD)}       {-I(VINPUT)}   
49       4.90000000e-07    1.00000000e+00    1.00000000e+00    3.07393607e-08    9.99987734e-01    3.07500720e-08    9.99987734e-01    3.07510476e-08    9.99987734e-01    3.07510616e-08    9.99987734e-01    3.07510686e-08    9.99987734e-01    3.07510695e-08    9.99987736e-01    7.63013776e-08    1.95572789e-12
50       5.00000000e-07    1.00000000e+00    1.00000000e+00    3.07390449e-08    9.99987734e-01    3.07496500e-08    9.99987734e-01    3.07510411e-08    9.99987734e-01    3.07510610e-08    9.99987734e-01    3.07510709e-08    9.99987734e-01    3.07510721e-08    9.99987736e-01    7.63013764e-08    1.95565695e-12
51       5.10000000e-07    1.00000000e+00    1.00000000e+00    3.07387290e-08    9.99987734e-01    3.07492280e-08    9.99987734e-01    3.07510345e-08    9.99987734e-01    3.07510604e-08    9.99987734e-01    3.07510733e-08    9.99987734e-01    3.07510748e-08    9.99987736e-01    7.63013752e-08    1.95558601e-12
52       5.10000000e-07    1.00000000e+00    1.00000000e+00    3.07387290e-08    9.99987734e-01    3.07492280e-08    9.99987734e-01    3.07510345e-08    9.99987734e-01    3.07510604e-08    9.99987734e-01    3.07510733e-08    9.99987734e-01    3.07510748e-08    9.99987736e-01    7.63013752e-08    1.95558600e-12
53       5.20000000e-07    1.00000000e+00    9.00000000e-01   -1.41773879e-06    9.99987734e-01    3.07510416e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510631e-08    9.99987736e-01    7.84983501e-08   -6.80466135e-09
54       5.30000000e-07    1.00000000e+00    8.00000000e-01    3.64160201e-05    9.99987723e-01    3.07506167e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510632e-08    9.99987736e-01    1.26962867e-07   -6.74325011e-09
55       5.40000000e-07    1.00000000e+00    7.00000000e-01    5.15993428e-03    9.99985511e-01    3.07059587e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510631e-08    9.99987736e-01    4.77341789e-06   -7.25194352e-09
56       5.50000000e-07    1.00000000e+00    6.00000000e-01    1.23862960e-02    9.99982389e-01    3.06430112e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510632e-08    9.99987734e-01    3.07510631e-08    9.99987736e-01    1.13197301e-05   -7.99285064e-09
57       5.60000000e-07    1.00000000e+00    5.00000000e-01    3.85182059e-02    9.99960572e-01    2.90157075e-08    9.99987734e-01    3.07510630e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510631e-08    9.99987736e-01    2.85402018e-05   -1.02045594e-08
58       5.70000000e-07    1.00000000e+00    4.00000000e-01    5.94214329e-01    7.31318919e-03    9.99973397e-01    3.49034215e-07    9.99987627e-01   -7.81350819e-08    9.99987693e-01    8.11129336e-08    9.99987824e-01    2.21495995e-07    9.99987901e-01   -3.07065882e-08    6.86180311e-05   -3.70584212e-08
59       5.80000000e-07    1.00000000e+00    3.00000000e-01    9.61323731e-01   -3.23659867e-06    9.99987506e-01   -3.75219741e-07    9.99987863e-01    1.81696279e-07    9.99987790e-01   -3.90682358e-08    9.99987604e-01   -2.34577906e-07    9.99987507e-01    1.12220990e-07    2.29259872e-05   -1.15400974e-08
60       5.90000000e-07    1.00000000e+00    2.00000000e-01    9.94704397e-01    2.80953262e-06    9.99987855e-01    2.40042574e-07    9.99987667e-01   -4.71432330e-08    9.99987705e-01    6.67839722e-08    9.99987801e-01    1.67697387e-07    9.99987851e-01   -1.14691952e-08    3.77506638e-06   -8.42668791e-09
61       6.00000000e-07    1.00000000e+00    1.00000000e-01    9.99159783e-01   -2.38644866e-06    9.99987616e-01   -1.72106555e-07    9.99987798e-01    1.06254082e-07    9.99987762e-01   -4.17581224e-09    9.99987669e-01   -1.01992268e-07    9.99987620e-01    7.13562436e-08    9.30977063e-07   -8.24287842e-09
62       6.10000000e-07    1.00000000e+00   -4.15639745e-15    9.99955081e-01    1.06887784e-06    9.99987784e-01    1.16547851e-07    9.99987706e-01   -1.18908270e-09    9.99987722e-01    4.55265197e-08    9.99987761e-01    8.69079200e-08    9.99987782e-01    1.33511996e-08    3.13416268e-08   -8.03658145e-09
63       6.20000000e-07    1.00000000e+00   -1.00000000e-01    9.99994695e-01    4.07903242e-07    9.99987751e-01    6.19591735e-08    9.99987724e-01    1.91415168e-08    9.99987729e-01    3.61212559e-08    9.99987744e-01    5.11600107e-08    9.99987751e-01    2.43171306e-08    4.43596441e-08   -8.15440318e-09
