Index       TIME            V(SUPPLY)           V(VI)            V(VOUT)          {-I(VDD)}       {-I(VINPUT)}   
83       8.00000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072993e-11
84       8.10000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619423e-10   -8.88072995e-11
85       8.20000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619423e-10   -8.88072997e-11
86       8.30000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619423e-10   -8.88072997e-11
87       8.40000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619423e-10   -8.88072996e-11
88       8.50000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619423e-10   -8.88072995e-11
89       8.60000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072994e-11
90       8.70000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072994e-11
91       8.80000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072993e-11
92       8.90000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072992e-11
93       9.00000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072991e-11
94       9.10000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072990e-11
95       9.20000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072990e-11
96       9.30000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619421e-10   -8.88072989e-11
97       9.40000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619421e-10   -8.88072988e-11
98       9.50000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619421e-10   -8.88072988e-11
99       9.60000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619421e-10   -8.88072988e-11
100      9.70000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072989e-11
101      9.80000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072990e-11
102      9.90000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072990e-11
103      1.00000000e-06    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072991e-11
104      1.01000000e-06    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072992e-11
105      1.02000000e-06    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072992e-11
106      1.03000000e-06    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072993e-11
107      1.04000000e-06    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072994e-11
108      1.05000000e-06    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072994e-11
109      1.06000000e-06    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619423e-10   -8.88072995e-11
110      1.07000000e-06    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619423e-10   -8.88072995e-11
111      1.08000000e-06    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619423e-10   -8.88072996e-11
112      1.09000000e-06    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619423e-10   -8.88072997e-11
113      1.10000000e-06    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072995e-11
114      1.11000000e-06    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619421e-10   -8.88072988e-11
115      1.12000000e-06    1.00000000e+00   -9.00000000e-01    1.00000241e+00   -7.53374253e-09    8.41487736e-09
116      1.13000000e-06    1.00000000e+00   -8.00000000e-01    1.00000249e+00   -7.54472189e-09    8.41715625e-09
117      1.14000000e-06    1.00000000e+00   -7.00000000e-01    1.00000258e+00   -7.54084209e-09    8.40455931e-09
118      1.15000000e-06    1.00000000e+00   -6.00000000e-01    1.00000267e+00   -7.53518537e-09    8.39069497e-09
119      1.16000000e-06    1.00000000e+00   -5.00000000e-01    1.00000281e+00   -7.50287487e-09    8.35781954e-09
120      1.17000000e-06    1.00000000e+00   -4.00000000e-01    1.00000295e+00   -7.47056437e-09    8.32494412e-09
121      1.18000000e-06    1.00000000e+00   -3.00000000e-01    1.00000309e+00   -7.43825387e-09    8.29206869e-09
122      1.19000000e-06    1.00000000e+00   -2.00000000e-01    1.00000287e+00   -7.02290612e-09    8.25613430e-09
123      1.20000000e-06    1.00000000e+00   -1.00000000e-01    9.99997262e-01   -8.61999618e-10    8.17431531e-09
124      1.21000000e-06    1.00000000e+00    0.00000000e+00    9.99991652e-01    5.29890688e-09    8.09249631e-09
125      1.22000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26708999e-08   -6.36686891e-14
126      1.23000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710248e-08   -1.87496757e-13
127      1.24000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37029384e-13
128      1.25000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37031718e-13
129      1.26000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37034052e-13
130      1.27000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37034825e-13
131      1.28000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37033254e-13
132      1.29000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37031684e-13
133      1.30000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37030114e-13
134      1.31000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37028544e-13
135      1.32000000e-06    1.00000000e+00    0.00000000e+00    9.99987735e-01    1.26710748e-08   -2.37026974e-13
136      1.33000000e-06    1.00000000e+00    0.00000000e+00    9.99987735e-01    1.26710748e-08   -2.37025404e-13
137      1.34000000e-06    1.00000000e+00    0.00000000e+00    9.99987735e-01    1.26710748e-08   -2.37026490e-13
138      1.35000000e-06    1.00000000e+00    0.00000000e+00    9.99987735e-01    1.26710748e-08   -2.37027576e-13
139      1.36000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37028662e-13
140      1.37000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37029749e-13
141      1.38000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37030835e-13
142      1.39000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37031921e-13
143      1.40000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37033008e-13
144      1.41000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37034094e-13
145      1.42000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37035180e-13
146      1.43000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37036267e-13
147      1.44000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37037353e-13
148      1.45000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37038439e-13
149      1.46000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37038399e-13
150      1.47000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37033849e-13
151      1.48000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37029300e-13
152      1.49000000e-06    1.00000000e+00    0.00000000e+00    9.99987736e-01    1.26710748e-08   -2.37024751e-13
153      1.50000000e-06    1.00000000e+00    0.00000000e+00    9.99987735e-01    1.26710748e-08   -2.37020201e-13
154      1.50000000e-06    1.00000000e+00    0.00000000e+00    9.99987735e-01    1.26710748e-08   -2.37020201e-13
End of Xyce(TM) Simulation
